dataset,model,pooling,n_shots,seed,k,accuracy,macro_f1
cifar10,dinov2_vits14,cls,10,2,5,0.8912000060081482,0.8902536506130913
cifar10,dinov2_vits14,cls,10,2,20,0.8995000123977661,0.8985409541864376
cifar10,dinov2_vits14,cls,20,0,1,0.8967999815940857,0.8968557729965296
cifar10,dinov2_vits14,cls,20,0,5,0.9179999828338623,0.9179390512554949
cifar10,dinov2_vits14,cls,20,0,20,0.9239000082015991,0.9236488252307362
cifar10,dinov2_vits14,cls,20,1,1,0.8970999717712402,0.896671972946605
cifar10,dinov2_vits14,cls,20,1,5,0.9140999913215637,0.9135525711920487
cifar10,dinov2_vits14,cls,20,1,20,0.920199990272522,0.9194529119555792
cifar10,dinov2_vits14,cls,20,2,1,0.9027000069618225,0.9023566868333374
cifar10,dinov2_vits14,cls,20,2,5,0.9229999780654907,0.9227063607889786
cifar10,dinov2_vits14,cls,20,2,20,0.9286999702453613,0.9283307171833682
cifar10,dinov2_vits14,cls,50,0,1,0.9190999865531921,0.9191869026160191
cifar10,dinov2_vits14,cls,50,0,5,0.9354000091552734,0.935391730147718
cifar10,dinov2_vits14,cls,50,0,20,0.9424999952316284,0.9424083307637998
cifar10,dinov2_vits14,cls,50,1,1,0.9182000160217285,0.9179438615892288
cifar10,dinov2_vits14,cls,50,1,5,0.9330999851226807,0.9327427514622533
cifar10,dinov2_vits14,cls,50,1,20,0.9350000023841858,0.9345077718684477
cifar10,dinov2_vits14,cls,50,2,1,0.9172000288963318,0.9170994435961266
cifar10,dinov2_vits14,cls,50,2,5,0.9332000017166138,0.9330432557760329
cifar10,dinov2_vits14,cls,50,2,20,0.9387000203132629,0.9384360899737707
cifar10,dinov2_vits14,cls,100,0,1,0.9296000003814697,0.929627816917141
cifar10,dinov2_vits14,cls,100,0,5,0.9462000131607056,0.9461767300976863
cifar10,dinov2_vits14,cls,100,0,20,0.9503999948501587,0.9503675160633123
cifar10,dinov2_vits14,cls,100,1,1,0.9316999912261963,0.9315075958357004
cifar10,dinov2_vits14,cls,100,1,5,0.9449999928474426,0.944887095847956
cifar10,dinov2_vits14,cls,100,1,20,0.9484000205993652,0.9482650554502416
cifar10,dinov2_vits14,cls,100,2,1,0.9329000115394592,0.9329193172084936
cifar10,dinov2_vits14,cls,100,2,5,0.9495000243186951,0.9494528968659266
